Text,Label
"Even numbers. Very. Good. So yeah. So in a set, if we have. A square so from. One to 10 only the even squares will have the event ending, ending this as even numbers. So when we take the intersection we only get the squares of even numbers. Very good. In Python programming. You are defining your function. And you are using that function. OK, Sir. OK. So what is the? Order of sequence in which there should be done. 1st we will define the function. Whatever we wanna do, just define keyword is used with the name of the function and whatever program we want to do. We think that the function and when you want the exit like. Use that function. We will give the. Input by using the function name. For example, if I'm using the function as even then even of the input, whatever. You want to give.",Statement
Well.,Answer
"Thank you very much. Thank you, Sir.",Statement
Were you tense?,Question
Sir.,Answer
Where do 10?,Question
"No, Sir. Actually the network issue so and my earphones send stopped working. So there is a disruption that's why I got them. That's it, no problem.",Answer
"Thank you very much and good night. Sorry. Thank you. Thank you, Sir.",Statement
Yeah. We'll go one after another. Let me start with just one thing and then we'll. Go to Mahesh.,Answer
OK. OK.,Statement
Jaswanti tell me. How speech is produced?,Question
Oh.,Answer
Space is produced by the communication of the. By vocal apparatus using airflow or artificial. Hello.,Statement
Yes.,Answer
First speech is produced by the local apparatus using air flow.,Statement
Flow. What are the different organs involved with speech production?,Question
"Local drug alarm NICs, diaphragm. Gram. Thank God. OK. Lungs, OK. What is the human perceptible auditory Lance? What is the range of frequencies to which human? Beings can hear.",Statement
Ohh. RTB.,Answer
Do we measure frequencies in DB?,Question
Huh.,Statement
Do we measure frequencies in DB?,Question
"No, Sir.",Answer
How do we measure it?,Question
But.,Statement
"In hearts, we can. We'll measure that.",Answer
OK. So now please tell me. What is the range of frequencies? Which are perceptible to human ear.,Statement
I'm not sure since.,Answer
No problem. OK. What is the difference? What is the difference between Fourier transform and short time Fourier transform?,Question
Free transformer.,Statement
Are you able to hear me?,Question
"Yeah, yes, yes, Sir. Short time Fourier transform, Sir.",Answer
Select. OK. Fourier transform. Analyze the entity signal at once and the short term Fourier transform will break the signal into. Smaller. Parts. OK and. And its performs to each of parts and give information for the on the both frequency and how it sends with that time.,Statement
OK. What is windowing?,Question
Windowing is. Linens computing. It computes difficult user interface.,Statement
Can you please repeat your answer?,Question
Its efforts to the graphical user interface proof.,Answer
"OK, just give me a minute. OK, Phil.",Statement
Yeah. So how? What? What is? What is we doing?,Question
Yes. I'm not sure. No problem.,Answer
When I I said that about the interface after.,Statement
"Sure, no problem. So what is the? You have studied about this convolutional neural networks, right?",Question
"Yes, Sir.",Answer
OK. What are the different components of a CNN network architecture?,Question
"Convolution layer. OK. Some output layer and activation. MHM. And we studied about the pooling, Sir. OK.",Statement
OK. So what happens in the pulling layer?,Question
"To reduce it, reduce to the spatial dimensions and it's converted to the features converted to the features.",Statement
OK. What are the different kind of pooling available?,Question
Ohh. Average. Storage and Max. I was just pulling a match today. OK. What is just try when we are doing fully pulling.,Answer
Good.,Statement
What is just trying? Have you have you heard of a term called strive?,Question
"Hi. Yes, Sir.",Statement
But what does it mean?,Question
Number of steps that filters and kernels move across to the input. OK. Very good. Thank you very much. Thank you. Yeah.,Statement
"We will move on to. My heads. Sir one second, Sir.",Answer
Yeah. So what do you mean by standard deviation? What do you mean?,Question
Standard deviation. US. But it is a measure of variability of some set of. And you. Hello.,Statement
"Yeah, you are saying something or you are searching. For it or what is it?",Question
"No, Sir, I'm saying.",Answer
Then you complete your thing.,Statement
"Sir. Sir, it is an variable of some set of values.",Answer
OK. Why is it calculated and where is it? Used.,Statement
"Sir, to calculate the mean average.",Answer
Mean average. Why do we need and how do we use standard deviation to calculate mean average? Are you able to hear me?,Question
"Yes, now I'm. Able to hear.",Answer
Now you are able to hear. OK. How do you do that?,Question
It is to calculate the mean.,Answer
How do you use standard deviation to calculate the mean?,Question
So by taking the mean of. The difference of I mean observations from the mean.,Statement
I'm not able to hear you.,Answer
The average means.,Statement
What is average mean can you can you give the mathematical formula for average mean?,Question
"Sir, one by Sigma Square.",Answer
One by Sigma squared is the average mean. What is Sigma?,Question
"No. Yes, I am not aware of that.",Answer
What? What are you not aware of Sigma or deviation?,Question
Sigma.,Statement
So how did you know that average mean formula is 1 by Sigma Square? Where did you get it from?,Question
"So I mean, I'm gonna guess. I have read it somewhere.",Statement
"Yes, OK. Bye. OK, suppose there is a signal which you are sampling at 20 kilohertz. What is the maximum frequency which is present in this signal?",Question
"Maximum frequency, Sir? Yes. Sir one second. Sir, no ideas. OK. Thank you very much. Thanks to both of you. Thanks. Thank you, Sir.",Statement
How are you feeling today? What's up?,Question
"Sorry. Good Sir. Are you? If you are using some earbuds or something of that nature, can you remove that and probably directly speak? OK, so Shruti will get started with you.",Statement
"Yes, Sir.",Answer
Tell me what is the use? Of differentiation and integration.,Statement
Use of differentiation and integration in what context? Why are you learning it in that context?,Question
"Why am I learning? Yes, OK. OK. Differentiation in context of, at least in context of speech processing, can be used for feature extraction. And it can also be used, uh, like. Novels are characterized right in different forms, so for form and analysis, and if we talk about integration, we can use it for I think, filtering. Techniques, yeah.",Statement
"Since you spoke about speech processing, is speech stationary signal or non stationary signal?",Question
Stationary symbol. Speech is a non stationary signal.,Statement
Why do you say that? Is that something you learned in signal processing?,Question
"Not necessarily, but I've come across it in a few papers that I've read.",Answer
"So when you say it is non stationary signal, what does it mean? How do you define a non stationary signal?",Question
"That it's. I I know that a stationary signal is when you have like mean, variance etcetera, they stay the same over the time period. So when you say a non stationary signal, I think it's more dynamic so over a period of time. Statistical properties like mean and variance and all that will vary.",Statement
Very good. What is the limitation of perceptron which is overcome by using? Any other network?,Question
"OK. A limitation of a perceptron. Is. I. OK, so we've in deep planning as far as we plan, they have perceptrons have, we've learned with binary inputs zero and one not multiclass. So I think that they can. I mean, as as far as I've learned, they can only produce outputs of 0 and one. So I think multi class classification is not possible with perception.",Statement
"I understand they are not. They are not. It's not possible to generate multiclass classification with perceptron, but why do you say they would only produce zero and one?",Question
"Because even the inputs are typically 0 and so we, I mean it's used for only binary classification tasks like we can take an example of mails. So if you want to classify a mail as spam or not spam or if you want to classify. Some movie with IMDb rating more than 8 or less than 8. Something like.",Statement
Can can I use a perceptron for regression problem?,Question
I don't think Perceptrons can be used for regression problem because for regressions I think the output the sigmoid function ranges from zero to 1. So I don't think it can be used for. Regression tasks.,Answer
What is the role of sigmoid function in perceptron?,Question
OK. I'll. But I I don't know the answer to that question.,Statement
"No problem shruti. Thank you very much. We'll go to samita. Yes, Sir.",Answer
Amita. What was your marking quiz?,Question
"Marking Quiz 2, I guess. You got 2 out of 10.",Statement
"Yes, Sir.",Answer
OK. So did you analyze to find out where you lost the marks?,Question
"Yes. Actually, I didn't. I just did. I got confused between the options while doing it like I was bit tensed while doing the quiz.",Answer
Very good. No problem. At least you have analyzed. That you can.,Statement
"Yes, I have went through the the questions again.",Answer
"More careful next time. Be care more careful next time, OK?",Question
"Yes, Sir.",Answer
Yeah. So you know what? Is your windowing function in speech processing.,Statement
"Can you come again, Sir? What is the windowing function in speech processing?",Question
"So basically, windowing functions are like smooth. Functions like which go through zeros at the borders. So like, it's like by if we multiply the input signal with the windowing function, the windowing function also goes to 0. Yeah. So that the discontinuity at the border becomes invisible.",Statement
OK. Why do we do with the?,Question
"Also windowing, we do it. Sir, because it is used to generate, you know, the magnetic field and transfer the electrical energy.",Statement
"Like, what do you say?",Question
"I'm not able to explain it like properly, but yeah. So like basically to modify the amplitude.",Answer
"So what does mathematically function? I mean, how do you represent a windowing function mathematically? What kind of operation is used to represent a windowing function?",Question
So. Like operation I didn't get it.,Statement
You know what are mathematical operators?,Question
"Yes, like I think the windowing can be mathematical. It it can be mathematically represented in 0 value like in within a chosen interval.",Answer
"Yeah, but what is the operation? You know what are operations?",Question
"So multiplying. Yes, Sir. Multiply. Multiplied. Very good. So we do a multiplying in time domain or in frequency domain. So in time domain. So a multiplication in time domain translates into what kind of operation in frequency domain.",Statement
It translate. It like it's a convolution.,Answer
"OK. So when you are multiplying a window with a signal in time domain, what is happening in frequency domain?",Question
I have no ideas like proper idea.,Answer
So.,Statement
"You said it is convolution, right?",Question
"Yes, Sir.",Answer
Under the convolution loop. Like in normally or like in terms of speech.,Statement
"Whichever way it is convenient for you, you. Can explain that way?",Question
"OK Sir generally. So in figural in mathematical way, it is combining of signals to get a 3rd signal. So it's like it's like come it combines 2 functions by flipping the second and multiplying it. Right. That's all for now. OK.",Statement
Yeah. So how did you feel when you tense?,Question
"Yes, bit.",Answer
Because I started asking very aggressively and tough. Questions. Is it?,Question
"No, Sir, it's not like not only with the subject. Like everywhere, I get tense while answering questions. Like I'll be knowing it. But, you know, while answering it, I might not be able to properly deliver the answer. OK, that takes time for me to.",Answer
"What about you, Shruti?",Question
"But I I don't get very nervous, but I sometimes it depends. If I don't know, I just don't bother wasting too much time on it.",Statement
So why do 10s or not?,Question
"Because it's not graded, I wasn't very tensed. OK. Suppose if you are graded, you would have become tense. A little bit, a little bit. Sure. Thank you very much. Anyway, I basically asked little difficult questions to put you into a stress situation, OK? So that that toll also gets captured in the voice.",Statement
So how did you think I answered?,Question
"I was not evaluating so it was just an answer, OK.",Answer
"OK. Yes, thank you, Sir.",Statement
I don't even remember what questions I asked. Thank you very much.,Answer
"Thank you, Sir. Thank you, Sir.",Answer
"Can drop off, yeah. Audio file Transcript Yeah.",Statement
So Mr.,Answer
subas.,Statement
It said.,Answer
What is windowing function in speech processing? What is windowing in speech processing?,Question
"Sir windang is. Enjoying his speech, processing, his splitting an input signal into temporal. Segments.",Statement
And why do we use windowing?,Question
So that my pardon.,Answer
To get the temperance segments.,Statement
Why is that necessary?,Question
"From Spectrum, we'll find.",Statement
So.,Answer
Five window inch.,Statement
What is the disadvantage of windowing?,Question
No.,Answer
Yeah. Where we can get rejected vision also like this.,Statement
"We can't, Sir, but we'll accept only. I didn't know.",Answer
"Like we, we can prevent a freak.",Statement
I.,Answer
Dependency leakage and all.,Statement
OK.,Answer
Suppose we don't do windowing.,Statement
What would happen?,Question
The frequency leakage happens and we not get the outcome and outcome concept.,Statement
And why is that?,Question
Because.,Statement
We cannot divide these segments.,Answer
"Properly. Yeah, I I I get what you are saying. You are saying that it will not be proper.",Statement
We can't process it.,Answer
Translate them to.,Statement
"OK. Thank you very much, Subhash. We'll move on to Surya.",Answer
Listen. Surya.,Statement
So. So.,Answer
Hello Sir.,Statement
Are you there?,Question
It said it said. Something is wrong. OK you please set it right.,Answer
"You said it, yeah. Sir, I didn't get you, Sir.",Statement
Why do I hear a echo from your system?,Question
We go from. Yes.,Answer
"Don't know, Sir, it's nothing.",Statement
I'm not getting it wrong. No problem.,Answer
Like it's college network issues.,Statement
"So that's it. OK, understood.",Answer
What is the difference between derivative and integration?,Question
"Derivation and integration. Difference between derivation and integration, Sir.",Statement
Yes. So like.,Answer
Between television and regulation. Like. Depends. With this process like.,Statement
"I don't know exactly, Sir, but instantaneous rate of change like it can breaks down the functions like after the instant.",Answer
And we can respect like to each particular quantity like while integration is an average rate we can cause the summation of continuous data so. By given of the period of range or both are inverse of each other so. Hmm.,Statement
It's like.,Answer
So where should we?,Question
Please Mr. listen.,Statement
Where do we use integration and where do?,Question
We use.,Answer
Derivation. Differential like like if we have the function like representing the position of an object Sir.,Statement
So over time like it's derivative would be you like the velocity of the object or each each point of intention.,Answer
"Yeah, but that is more of a that is more of a mathematical concept.",Statement
I'm asking specifically with respect to speech processing.,Answer
Like when you.,Statement
Can you tell me where we are using integration and where we are using derivation?,Question
Like. 2. To produce like spoken language understanding systems in that in that we can.,Statement
Anything little more specific?,Question
Specific we need more specific where exactly integration is getting used. Like a pitch estimation or format tracking. For speech enhancement.,Statement
Very good.,Answer
How how do you use integration for pitch estimation?,Question
"So, like in pitch estimation algorithm Sir like we find the rate of the change of the speed signal.",Answer
Sir like it can help the identifying the regions for rapid frequency change. The corresponding pitch periods.,Statement
So you find the rate of change.,Answer
Of the amplitude by doing integration.,Statement
So Mr. It's a. So let me make sure I understand it.,Answer
You are saying you use integration to find the rate of change of amplitude.,Statement
What's the date of the swing of your speech signal?,Question
OK. Very good.,Answer
And.,Statement
So you know what is your dot product?,Question
"Dot product, Sir.",Statement
"Yes, like.",Answer
The definition or any other thing.,Statement
What do you understand from dot product?,Question
Explain it to me. Like it's and also has the scalar products here.,Statement
OK.,Answer
Anything else?,Question
"Or like. Which, like which measures how closely to two vectors, aligns in terms of the directions. Each so which can be used to compare the two vectors cell to understand and the impact the repositioning of one or. Both of them.",Statement
And how do you do that? What do you do like?,Question
"The two vectors, if there are the A&B in and.",Statement
"In N dimensional space, so we can like.",Answer
Use dot product like given 2 vectors.,Statement
So for example some 2 vectors and we can we calculate the product of the corresponding vectors like our components like we multiply each component of vector A with the corresponding of the B and then we sum the products here like we Add all the products together so we get the dot product over there. Very good.,Answer
You said that this is used. For finding out.,Statement
"For various reasons, what are the different use cases of dot product? Where do you use dot?",Question
Use of dot product in speech project Sir.,Statement
Yes.,Answer
Speech processing. Geometry like to identify lengths and angles.,Statement
"OK, tell me how do you find?",Question
Or the future extra. The angles we can.,Statement
I said. OK. Yes.,Answer
So how does that product help you find an angle between two vectors?,Question
Two dot product. Find the angles between two vectors.,Statement
Yes. I don't know.,Answer
10 seconds.,Statement
Thank you very much.,Answer
Have a good evening guys.,Statement
